,catboost,et,gbc
Negative_0,0.015463060597638984,0.08,0.05929670972017658
Negative_1,0.22023558850622585,0.23,0.2077074181551876
Negative_2,0.03755786301897783,0.18,0.07106963881325373
Negative_3,0.11561831767572489,0.24,0.2341819062170534
Negative_4,0.058519302414274305,0.19,0.1670332028262752
Negative_5,0.3235890407062295,0.34,0.3362170512446655
Negative_6,0.19179842273183886,0.14,0.19528334518989465
Negative_7,0.7004641602974061,0.58,0.6336192085257165
Negative_8,0.5696672244112153,0.42,0.6603423669233133
Negative_9,0.034165196583422465,0.13,0.06113549418636285
Negative_10,0.23103935936985426,0.34,0.16560001253211223
Negative_11,0.8055175137627792,0.74,0.8053911817893025
Negative_12,0.4206409663275946,0.38,0.30670646392900575
Negative_13,0.42871053730661884,0.67,0.5971691508941831
Negative_14,0.33490757606610794,0.32,0.3308191237879738
Negative_15,0.9263782615723797,0.88,0.907737720904907
Negative_16,0.7130049942362959,0.65,0.8445002745778403
Negative_17,0.33979555986975396,0.5,0.4112180423067203
Negative_18,0.24105756962409355,0.31,0.25766888357353895
Negative_19,0.022398964808571974,0.06,0.05775281350409437
Negative_20,0.01626957989028348,0.08,0.046357496714229195
Negative_21,0.2670873766357418,0.23,0.268885974341497
Negative_22,0.08794471784622002,0.14,0.09773230225573884
Negative_23,0.18424646312881973,0.08,0.1594979583539618
Negative_24,0.0081257940936765,0.03,0.035826402151539954
Negative_25,0.015322703607120566,0.06,0.03890295657713299
Negative_26,0.1057509328433467,0.22,0.14590376470484262
Negative_27,0.3323443581144862,0.37,0.34591919450412845
Negative_28,0.1790027537881351,0.44,0.24283523524228345
Negative_29,0.38069536046748886,0.3,0.47098581396798056
Negative_30,0.5174703344412765,0.58,0.4369245047717638
Negative_31,0.4818210472715745,0.36,0.410372653378929
Negative_32,0.9353458106556088,0.7,0.9062942218141132
Negative_33,0.6811109203181152,0.57,0.7169026225111944
Negative_34,0.10196877418819819,0.25,0.24559997995162589
Negative_35,0.43018883521608775,0.5,0.4616990819104303
Negative_36,0.5807480331715472,0.56,0.6858078211795747
Negative_37,0.8817187741552056,0.71,0.7733050043663793
Negative_38,0.8397118413283702,0.74,0.8233539043826315
Negative_39,0.9300760265025683,0.73,0.8848751332673016
Negative_40,0.03181599973295205,0.09,0.04862641533882249
Negative_41,0.01765276522812028,0.08,0.046198317779520645
Negative_42,0.01040063703670591,0.04,0.051457078277601875
Negative_43,0.022828982957929483,0.18,0.06885521846806078
Negative_44,0.011594278138671891,0.04,0.036448974707071244
Negative_45,0.05794057879361226,0.06,0.11675730045302092
Negative_46,0.04745113585140941,0.16,0.19160003920887927
Negative_47,0.011810098352103839,0.03,0.037247526950139324
Negative_48,0.042979779143717936,0.14,0.05585125271556759
Negative_49,0.024182194887455172,0.03,0.04762714793307016
Negative_50,0.05964383411798459,0.22,0.11662287268923269
Negative_51,0.02429112727643372,0.08,0.04665771222395406
Negative_52,0.060510780447303465,0.09,0.17150948009760741
Negative_53,0.04746202035112018,0.08,0.07282782042467043
Negative_54,0.02816982964646264,0.08,0.05076053766156422
Negative_55,0.04509435033407942,0.1,0.06173944441491101
Negative_56,0.09111940614296292,0.11,0.16914310579587546
Negative_57,0.0669601328297287,0.23,0.1586397658459191
Negative_58,0.2287041902308588,0.5,0.33955975700725566
Negative_59,0.09878537367050412,0.27,0.21723050877597946
Negative_60,0.07718279017307389,0.17,0.0741946402513012
Negative_61,0.12704871893959077,0.11,0.11018950574619407
Negative_62,0.029584829714432555,0.1,0.06710079209077761
Negative_63,0.042331807460404526,0.19,0.052942467906823415
Negative_64,0.07267948084096906,0.3,0.1347279105578411
Negative_65,0.037269651272952,0.06,0.12039389930226913
Negative_66,0.011665052542324717,0.08,0.04082456862647061
Negative_67,0.016129980569699953,0.09,0.084016684238089
Negative_68,0.035577298261564,0.21,0.08212872354817478
Negative_69,0.07540576094474268,0.26,0.1480594114345115
Negative_70,0.0806126558512493,0.18,0.1653416135252938
Negative_71,0.30999104579033593,0.33,0.4417646102544287
Negative_72,0.03423183925849389,0.28,0.09209427240365131
Negative_73,0.5203765818388574,0.47,0.6195028377789141
Negative_74,0.08387761470583267,0.31,0.12436860548732827
Negative_75,0.04140915731629047,0.19,0.17266126308710691
Negative_76,0.028849244828533932,0.11,0.04930526728403716
Negative_77,0.03353371943886521,0.18,0.06814078739632655
Negative_78,0.05990548931279676,0.13,0.07498948915751126
Negative_79,0.40729067491465143,0.29,0.49914730700275084
Negative_80,0.034389126100903174,0.09,0.050568248260963275
Negative_81,0.030520590086733895,0.09,0.044565765941040704
Negative_82,0.10798579171919953,0.18,0.11155677796068197
Negative_83,0.2413293236607546,0.21,0.23078116502340326
Negative_84,0.27899110973731955,0.19,0.25675553601310214
Negative_85,0.34099099631833757,0.47,0.3651829773204074
Negative_86,0.020771790165715315,0.09,0.061234973828878055
Negative_87,0.0746059737290031,0.24,0.09354386684892514
Negative_88,0.10583355290062033,0.21,0.17450972912461324
Negative_89,0.18531170193291333,0.32,0.2532487058156098
Negative_90,0.6512489574145535,0.49,0.6701504588214282
Negative_91,0.05779006574668462,0.16,0.17538733114564392
Negative_92,0.03201972534195004,0.12,0.10230788845102574
Negative_93,0.012925177063314109,0.12,0.06578104870788748
Negative_94,0.03694131267794892,0.1,0.0641281404020658
Negative_95,0.16787094088844898,0.16,0.19043674156788953
Negative_96,0.1130617688893383,0.16,0.12774707330339
Negative_97,0.04009277351877552,0.17,0.08838611995571868
Negative_98,0.023935633186102766,0.12,0.08133650907473133
Negative_99,0.05146572388706126,0.24,0.055591963905423154
Negative_100,0.014866112624992099,0.03,0.03831993806892207
Negative_101,0.025391881003478885,0.07,0.08967369775170776
Negative_102,0.10124609186303664,0.31,0.17503522336174268
Negative_103,0.10965785814242746,0.29,0.15425160050679668
Negative_104,0.10548136189749455,0.11,0.1612814795257751
Negative_105,0.12451403969492392,0.17,0.3837144994216061
Negative_106,0.04731109898926299,0.06,0.06874692182402303
Negative_107,0.031447397948817575,0.06,0.15506158469756595
Negative_108,0.029334971626768073,0.11,0.059119040760763145
Negative_109,0.10546368385820902,0.17,0.1991564550312974
Negative_110,0.4992270413883188,0.44,0.6031157893293749
Negative_111,0.11695335010751763,0.32,0.12122852633645376
Negative_112,0.33115629050418627,0.5,0.3808897656598839
Negative_113,0.11386687723490746,0.23,0.13280872682046913
Negative_114,0.33216655953908525,0.34,0.27017334114165403
Negative_115,0.15418932072018468,0.38,0.16973030570414677
Negative_116,0.42263936546703706,0.33,0.5045828465050946
Negative_117,0.07494114619574817,0.16,0.08477297350723967
Positive_0,0.9899135542290282,0.96,0.9568406274182882
Positive_1,0.9915606193257434,0.95,0.9617622677571568
Positive_2,0.8176590197799873,0.86,0.8506909046748083
Positive_3,0.8410614605391892,0.62,0.8171889915102734
Positive_4,0.993497302277211,0.96,0.9598355012165164
Positive_5,0.871188315350618,0.81,0.8364302030339567
Positive_6,0.8713981217681723,0.55,0.8610162282530862
Positive_7,0.9959340953444308,0.95,0.96384298997789
Positive_8,0.9753380951325251,0.91,0.9205730933501707
Positive_9,0.9859009582259429,0.94,0.9582156741889024
Positive_10,0.7814500148011885,0.6,0.7129793260689172
Positive_11,0.9791658245306493,0.88,0.9494244900178387
Positive_12,0.9140808493399744,0.88,0.8682257442504411
Positive_13,0.7835586567475349,0.6,0.757306229984331
Positive_14,0.9843581158232296,0.97,0.9476914112819147
Positive_15,0.9873914715955449,0.97,0.9639099015259359
Positive_16,0.8834678285609113,0.83,0.9033364520549712
Positive_17,0.8615435811505407,0.67,0.8907607439933742
Positive_18,0.981340893361758,0.95,0.9490367916526155
Positive_19,0.9811613964681707,0.94,0.945243583687391
Positive_20,0.39836919006099525,0.64,0.46211634901092213
Positive_21,0.7523269541263337,0.77,0.7567229277697352
Positive_22,0.5976096727540792,0.65,0.521447408670512
Positive_23,0.7549579565799329,0.54,0.529659871974741
Positive_24,0.7571975281306688,0.63,0.6319253213999158
Positive_25,0.8496360324522708,0.9,0.7839810295748407
Positive_26,0.969125446295292,0.93,0.9041858808104455
Positive_27,0.9836745786165634,0.93,0.9519125964223071
Positive_28,0.15275912857834925,0.34,0.3700349101187043
Positive_29,0.7455704577247054,0.73,0.7748241188231266
Positive_30,0.9642000713317437,0.85,0.9358425625082843
Positive_31,0.9909719215290227,0.96,0.9641930599106304
Positive_32,0.943670185869265,0.91,0.8887807180493327
Positive_33,0.9758253057352356,0.74,0.9276287888341189
Positive_34,0.6259622671941772,0.47,0.600233070249614
Positive_35,0.9254864887350507,0.8,0.915811688021394
Positive_36,0.7762715329800831,0.7,0.7684333800738121
Positive_37,0.9919539075860161,0.97,0.9621385780514997
Positive_38,0.6852185315856678,0.5,0.5156363132955186
Positive_39,0.9429500502629995,0.76,0.9037969377709137
Positive_40,0.9590795752443936,0.72,0.8982750820280367
Positive_41,0.8956114684944424,0.68,0.815824794219151
Positive_42,0.7902368638796234,0.62,0.8367722806263531
Positive_43,0.7760226380254708,0.63,0.72219634688246
Positive_44,0.9620937288244991,0.92,0.9032299943625477
Positive_45,0.9944602998985267,0.91,0.9739122295022105
Positive_46,0.38279148404411123,0.51,0.32981207584043365
Positive_47,0.9744643299325491,0.89,0.9460881833835367
Positive_48,0.9428621080595403,0.64,0.8956933775341792
Positive_49,0.6426131981653936,0.54,0.6090324300152822
Positive_50,0.8815844505501015,0.81,0.8577262187059465
Positive_51,0.395963923637858,0.6,0.4975888580397571
Positive_52,0.9146788572531556,0.85,0.9173831592921139
Positive_53,0.7511301956379938,0.54,0.654865572637236
Positive_54,0.9837500029919917,0.93,0.9452338053236707
Positive_55,0.906923246084974,0.7,0.7907392574571399
Positive_56,0.9294143650977499,0.75,0.8998588492877838
Positive_57,0.8101799238033888,0.82,0.8810299531862665
Positive_58,0.44460221547588347,0.5,0.45526103015229835
Positive_59,0.95005605146628,0.74,0.9097233347685093
Positive_60,0.7528432211131427,0.65,0.5538005664153572
Positive_61,0.9760909559279515,1.0,0.9526999955265563
Positive_62,0.9624512761802594,0.88,0.915686402763984
Positive_63,0.5171677946372645,0.58,0.5981470172769336
Positive_64,0.9933147184624475,0.98,0.9626200351186687
Positive_65,0.5171995632618065,0.47,0.6179107079834883
Positive_66,0.9953535335533064,0.97,0.9655464711497913
Positive_67,0.8337047594848922,0.77,0.7636814173824562
Positive_68,0.9155339754744248,0.89,0.8957836647167039
Positive_69,0.6017958536799366,0.59,0.5638843942252685
Positive_70,0.9894206431915021,0.88,0.961599888623611
Positive_71,0.8356531264825904,0.83,0.8007899016451557
Positive_72,0.8514053664843795,0.83,0.6981687419931462
Positive_73,0.8960933027590839,0.85,0.8464645572219942
Positive_74,0.9608080863818838,0.95,0.9285118605227368
Positive_75,0.7997658335040512,0.66,0.8193504292828758
Positive_76,0.27554315803420815,0.33,0.23626706327443167
Positive_77,0.994764075588602,0.98,0.9615105381016231
Positive_78,0.9965104745642768,0.99,0.9549432849765971
Positive_79,0.9906337319034522,0.97,0.9561149186572752
Positive_80,0.9790108343428783,0.92,0.9547078481089667
Positive_81,0.9950595486519569,0.91,0.9710958686771841
Positive_82,0.8155553904603654,0.84,0.874660291670686
Positive_83,0.7747245394831971,0.72,0.7508784738546457
Positive_84,0.8530060504492621,0.7,0.7505328241079805
Positive_85,0.9960063533724672,0.96,0.9622794071551704
Positive_86,0.8817785325121632,0.7,0.8354845196324748
Positive_87,0.9510986395721215,0.86,0.9132633903253622
Positive_88,0.9704107865440036,0.9,0.9479272733988612
Positive_89,0.5334347413830896,0.69,0.6937094652058219
Positive_90,0.5860493937015819,0.78,0.6296130878555882
Positive_91,0.7968793893288802,0.6,0.7061076112428782
Positive_92,0.3453052040321693,0.33,0.4105657834876274
Positive_93,0.7146728369146982,0.59,0.775485982757846
Positive_94,0.9823323574538664,0.89,0.9427595443154054
Positive_95,0.9720126627555263,0.82,0.9548003661494152
Positive_96,0.978058979710924,0.91,0.9651747577938818
Positive_97,0.9297105068047875,0.74,0.8901380834330879
Positive_98,0.8653513704088462,0.61,0.7413756451487469
Positive_99,0.7405930359182523,0.77,0.7785688197582662
Positive_100,0.5421124953284132,0.45,0.46870168498585685
Positive_101,0.9141168066110938,0.92,0.9076360586730238
Positive_102,0.6784676977810767,0.75,0.5856587682817314
Positive_103,0.984515061388289,0.88,0.9620561912892459
Positive_104,0.3980671939122768,0.31,0.36994781411052086
Positive_105,0.46130280728608464,0.59,0.4906400612014586
Positive_106,0.5489016182333595,0.58,0.44023784862931
Positive_107,0.35853615657218907,0.47,0.6218525840081167
Positive_108,0.7305962069405619,0.59,0.6223468174102
Positive_109,0.9484223021164262,0.91,0.8947289703235934
Positive_110,0.9839309313798038,0.95,0.9466409076749919
Positive_111,0.7035459993185361,0.67,0.7071592462775524
Positive_112,0.9192844385613812,0.88,0.8628662965641889
Positive_113,0.9931029352600751,0.95,0.9691473481038501
Positive_114,0.5153306240187148,0.47,0.5677330735685221
Positive_115,0.8740161118760669,0.7,0.7412407341118168
Positive_116,0.9840816425378685,0.98,0.9418345630327262
Positive_117,0.9125903157319821,0.79,0.8281494477834407
